geometry,lat,lon
POINT (-73.91152145 40.767911),40.767911,-73.91152145
POINT (-73.9616346359253 40.57484790030712),40.57484790030712,-73.9616346359253
POINT (-73.786064 40.638142),40.638142,-73.786064
POINT (-73.992822 40.726121),40.726121,-73.992822
POINT (-73.98545265197754 40.75692872907425),40.75692872907425,-73.98545265197754
POINT (-73.98126203738285 40.728156),40.728156,-73.98126203738285
POINT (-74.00619055240028 40.720221410947936),40.720221410947936,-74.00619055240028
POINT (-74.17611590259472 40.614757876495865),40.614757876495865,-74.17611590259472
POINT (-73.98561709767907 40.727117119821656),40.727117119821656,-73.98561709767907
POINT (-74.10196781158447 40.87912668977395),40.87912668977395,-74.10196781158447
POINT (-73.99073123931885 40.73688466553769),40.73688466553769,-73.99073123931885
POINT (-74.00845722745191 40.72376552940722),40.72376552940722,-74.00845722745191
POINT (-74.000919 40.73083635),40.73083635,-74.000919
POINT (-73.99018534133084 40.74997379864539),40.74997379864539,-73.99018534133084
POINT (-73.9908166227313 40.73441062140292),40.73441062140292,-73.9908166227313
POINT (-73.949068 40.711812),40.711812,-73.949068
POINT (-73.980818 40.72411),40.72411,-73.980818
POINT (-73.98469884462888 40.72854337080716),40.72854337080716,-73.98469884462888
POINT (-74.02914871865146 40.753602376738094),40.753602376738094,-74.02914871865146
POINT (-73.98452667169322 40.72024901420463),40.72024901420463,-73.98452667169322
POINT (-73.97426784038544 40.75332026820911),40.75332026820911,-73.97426784038544
POINT (-73.95807266235352 40.76032570468407),40.76032570468407,-73.95807266235352
POINT (-73.97917201638138 40.77755620288601),40.77755620288601,-73.97917201638138
POINT (-73.9925555053014 40.73428959648638),40.73428959648638,-73.9925555053014
POINT (-73.99030208587646 40.69834018178774),40.69834018178774,-73.99030208587646
POINT (-73.85490417480469 40.727486422997785),40.727486422997785,-73.85490417480469
POINT (-74.00857773347474 40.70752729644928),40.70752729644928,-74.00857773347474
POINT (-73.954032 40.742695),40.742695,-73.954032
