geometry,lat,lon
POINT (-73.98873 40.734958),40.734958,-73.98873
POINT (-73.98003864274011 40.72696058176323),40.72696058176323,-73.98003864274011
POINT (-73.98347854614258 40.72607169369348),40.72607169369348,-73.98347854614258
POINT (-73.956868 40.712726),40.712726,-73.956868
POINT (-73.927632 40.865552),40.865552,-73.927632
POINT (-73.998213 40.745226),40.745226,-73.998213
POINT (-73.98173170945321 40.74079259459379),40.74079259459379,-73.98173170945321
POINT (-73.97786346057033 40.74599531922834),40.74599531922834,-73.97786346057033
POINT (-73.99478217019208 40.7556979911288),40.7556979911288,-73.99478217019208
POINT (-73.94866543216908 40.78157631131011),40.78157631131011,-73.94866543216908
POINT (-73.98940086364746 40.73930718066654),40.73930718066654,-73.98940086364746
POINT (-73.97557920584508 40.76344518569897),40.76344518569897,-73.97557920584508
POINT (-73.98225397448012 40.75844191525234),40.75844191525234,-73.98225397448012
POINT (-73.98193359375 40.77127936209544),40.77127936209544,-73.98193359375
POINT (-73.9886759964726 40.74507684131655),40.74507684131655,-73.9886759964726
POINT (-73.98969179260743 40.73779798692258),40.73779798692258,-73.98969179260743
POINT (-73.94359946250916 40.7761461720269),40.7761461720269,-73.94359946250916
