geometry,lat,lon
POINT (-73.98873 40.734958),40.734958,-73.98873
POINT (-73.98003864274011 40.72696058176323),40.72696058176323,-73.98003864274011
POINT (-73.98347854614258 40.72607169369348),40.72607169369348,-73.98347854614258
POINT (-73.956868 40.712726),40.712726,-73.956868
POINT (-73.927632 40.865552),40.865552,-73.927632
POINT (-73.998213 40.745226),40.745226,-73.998213
POINT (-73.98173170945321 40.74079259459379),40.74079259459379,-73.98173170945321
POINT (-73.97786346057033 40.74599531922834),40.74599531922834,-73.97786346057033
POINT (-73.99478217019208 40.7556979911288),40.7556979911288,-73.99478217019208
POINT (-73.94866543216908 40.78157631131011),40.78157631131011,-73.94866543216908
POINT (-73.9793662095376 40.75848906765483),40.75848906765483,-73.9793662095376
POINT (-73.97740431607022 40.757841047915406),40.757841047915406,-73.97740431607022
POINT (-73.99607913318412 40.72601032405777),40.72601032405777,-73.99607913318412
POINT (-74.01347637176514 40.70536767492135),40.70536767492135,-74.01347637176514
POINT (-73.9943790435791 40.73883569134756),40.73883569134756,-73.9943790435791
POINT (-73.98943362953369 40.74186151409088),40.74186151409088,-73.98943362953369
POINT (-73.981817 40.772844),40.772844,-73.981817
POINT (-73.99268749904417 40.74527272119222),40.74527272119222,-73.99268749904417
POINT (-73.98330688476561 40.751418432997454),40.751418432997454,-73.98330688476561
POINT (-73.99221103886612 40.75044987008408),40.75044987008408,-73.99221103886612
POINT (-73.98626804351807 40.756489872673846),40.756489872673846,-73.98626804351807
POINT (-73.98231446743011 40.75604694985082),40.75604694985082,-73.98231446743011
POINT (-73.97954506794183 40.75911137894531),40.75911137894531,-73.97954506794183
POINT (-73.9737885148353 40.7641599692142),40.7641599692142,-73.9737885148353
POINT (-73.9815824906134 40.76526318064232),40.76526318064232,-73.9815824906134
POINT (-73.9772837904573 40.75831461619259),40.75831461619259,-73.9772837904573
POINT (-73.99407863616943 40.73600668525516),40.73600668525516,-73.99407863616943
POINT (-73.98209327769995 40.77473050116933),40.77473050116933,-73.98209327769995
POINT (-73.98572613993713 40.75721919831879),40.75721919831879,-73.98572613993713
