geometry,lat,lon
POINT (-74.00862937888984 40.655535144394925),40.655535144394925,-74.00862937888984
POINT (-73.99866788 40.72298525),40.72298525,-73.99866788
POINT (-73.98139309730372 40.74129943197517),40.74129943197517,-73.98139309730372
POINT (-74.0293036381559 40.74264603027398),40.74264603027398,-74.0293036381559
POINT (-73.99018534133084 40.74997379864539),40.74997379864539,-73.99018534133084
POINT (-73.99574054634681 40.74415864694926),40.74415864694926,-73.99574054634681
POINT (-74.00216785536746 40.74525873293843),40.74525873293843,-74.00216785536746
POINT (-73.9908166227313 40.73441062140292),40.73441062140292,-73.9908166227313
POINT (-73.949068 40.711812),40.711812,-73.949068
POINT (-73.980818 40.72411),40.72411,-73.980818
POINT (-73.95915817523549 40.71697599250837),40.71697599250837,-73.95915817523549
POINT (-73.98452667169322 40.72024901420463),40.72024901420463,-73.98452667169322
POINT (-73.97426784038544 40.75332026820911),40.75332026820911,-73.97426784038544
POINT (-73.9799295972542 40.68850237260885),40.68850237260885,-73.9799295972542
POINT (-73.99030208587646 40.69834018178774),40.69834018178774,-73.99030208587646
POINT (-73.85490417480469 40.727486422997785),40.727486422997785,-73.85490417480469
POINT (-74.03191429973907 40.75412687549275),40.75412687549275,-74.03191429973907
POINT (-73.8871957167216 40.85538300369048),40.85538300369048,-73.8871957167216
POINT (-74.00079633163301 40.72336856758456),40.72336856758456,-74.00079633163301
POINT (-73.80400657653809 40.76253608361896),40.76253608361896,-73.80400657653809
POINT (-74.214166 40.672359),40.672359,-74.214166
POINT (-73.97403530977857 40.79170519831993),40.79170519831993,-73.97403530977857
POINT (-73.95865880705819 40.81586517490488),40.81586517490488,-73.95865880705819
POINT (-73.831738 40.764875),40.764875,-73.831738
POINT (-73.97447150471825 40.75938200572598),40.75938200572598,-73.97447150471825
POINT (-74.09978462415837 40.705272992073965),40.705272992073965,-74.09978462415837
POINT (-74.0095067024231 40.738087804883584),40.738087804883584,-74.0095067024231
POINT (-73.95779782440798 40.81111202333411),40.81111202333411,-73.95779782440798
POINT (-73.77933174665857 40.67870588403204),40.67870588403204,-73.77933174665857
POINT (-74.13816347116664 40.782228424643336),40.782228424643336,-74.13816347116664
POINT (-73.98823409478094 40.73448312627058),40.73448312627058,-73.98823409478094
POINT (-74.00280483585269 40.72851858988121),40.72851858988121,-74.00280483585269
POINT (-73.94833087920928 40.632195),40.632195,-73.94833087920928
POINT (-73.976789 40.644043),40.644043,-73.976789
POINT (-73.94179432849904 40.81802912751538),40.81802912751538,-73.94179432849904
POINT (-73.959392 40.648694),40.648694,-73.959392
POINT (-73.991856 40.690599),40.690599,-73.991856
POINT (-73.91496197229245 40.84459110738235),40.84459110738235,-73.91496197229245
POINT (-73.83503437042236 40.75700999846009),40.75700999846009,-73.83503437042236
POINT (-73.99266242980957 40.7257627258212),40.7257627258212,-73.99266242980957
POINT (-73.9264898916695 40.76523070870864),40.76523070870864,-73.9264898916695
POINT (-74.0108271652923 40.8995075792803),40.8995075792803,-74.0108271652923
POINT (-73.9997404238227 40.72281892509554),40.72281892509554,-73.9997404238227
POINT (-73.89420081047182 40.82344253441968),40.82344253441968,-73.89420081047182
POINT (-74.06815320253372 40.888736668115726),40.888736668115726,-74.06815320253372
POINT (-73.96458226354845 40.76820342637549),40.76820342637549,-73.96458226354845
POINT (-73.98211623439106 40.748098),40.748098,-73.98211623439106
POINT (-73.98788401609518 40.72468591887609),40.72468591887609,-73.98788401609518
POINT (-74.00588035583496 40.71265872860487),40.71265872860487,-74.00588035583496
POINT (-73.97336953664879 40.76280318635086),40.76280318635086,-73.97336953664879
